,data,result
66,"[95, 12, 3]",[7.916666666666667]
67,"[37, 43, 0]",[80]
68,"[68, 54, 2]",[3672]
69,"[78, 77, 2]",[6006]
70,"[9, 100, 2]",[900]
71,"[45, 84, 3]",[0.5357142857142857]
72,"[20, 73, 3]",[0.273972602739726]
73,"[35, 78, 1]",[-43]
74,"[65, 14, 2]",[910]
75,"[86, 90, 2]",[7740]
76,"[7, 78, 0]",[85]
77,"[56, 1, 3]",[56.0]
78,"[75, 29, 0]",[104]
79,"[76, 47, 3]",[1.6170212765957446]
80,"[0, 22, 3]",[0.0]
81,"[60, 6, 1]",[54]
82,"[91, 9, 0]",[100]
83,"[24, 77, 0]",[101]
84,"[44, 45, 1]",[-1]
85,"[56, 19, 0]",[75]
86,"[34, 37, 0]",[71]
87,"[60, 32, 2]",[1920]
88,"[50, 25, 2]",[1250]
89,"[68, 43, 2]",[2924]
90,"[68, 88, 3]",[0.7727272727272727]
91,"[51, 55, 3]",[0.9272727272727272]
92,"[12, 91, 0]",[103]
93,"[32, 87, 2]",[2784]
94,"[25, 62, 1]",[-37]
95,"[11, 85, 1]",[-74]
96,"[94, 3, 3]",[31.333333333333332]
97,"[12, 61, 2]",[732]
98,"[95, 96, 1]",[-1]
99,"[49, 41, 3]",[1.1951219512195121]
100,"[98, 40, 0]",[138]
101,"[49, 23, 0]",[72]
102,"[16, 83, 1]",[-67]
103,"[37, 30, 3]",[1.2333333333333334]
104,"[17, 59, 1]",[-42]
105,"[47, 42, 2]",[1974]
106,"[51, 10, 0]",[61]
107,"[73, 35, 2]",[2555]
108,"[43, 99, 3]",[0.43434343434343436]
109,"[21, 8, 0]",[29]
110,"[96, 39, 2]",[3744]
111,"[69, 84, 2]",[5796]
112,"[50, 53, 2]",[2650]
113,"[30, 32, 3]",[0.9375]
114,"[63, 91, 3]",[0.6923076923076923]
115,"[24, 56, 2]",[1344]
116,"[51, 60, 1]",[-9]
117,"[2, 74, 1]",[-72]
118,"[14, 68, 0]",[82]
119,"[42, 39, 2]",[1638]
120,"[26, 100, 1]",[-74]
121,"[98, 97, 2]",[9506]
122,"[86, 33, 2]",[2838]
123,"[42, 46, 2]",[1932]
124,"[61, 97, 2]",[5917]
125,"[0, 14, 1]",[-14]
126,"[100, 30, 1]",[70]
127,"[14, 3, 0]",[17]
128,"[74, 56, 2]",[4144]
129,"[64, 42, 0]",[106]
130,"[27, 97, 0]",[124]
131,"[3, 58, 1]",[-55]
132,"[32, 20, 3]",[1.6]
133,"[97, 5, 1]",[92]
134,"[75, 39, 3]",[1.9230769230769231]
135,"[71, 84, 0]",[155]
136,"[2, 51, 2]",[102]
137,"[97, 40, 0]",[137]
138,"[63, 95, 0]",[158]
139,"[87, 63, 2]",[5481]
140,"[55, 37, 1]",[18]
141,"[82, 81, 1]",[1]
142,"[59, 83, 1]",[-24]
143,"[57, 8, 3]",[7.125]
144,"[28, 95, 3]",[0.29473684210526313]
145,"[94, 50, 0]",[144]
146,"[52, 3, 0]",[55]
147,"[55, 74, 0]",[129]
148,"[91, 5, 3]",[18.2]
149,"[26, 85, 2]",[2210]
150,"[81, 25, 3]",[3.24]
151,"[66, 59, 1]",[7]
152,"[90, 32, 1]",[58]
153,"[29, 71, 0]",[100]
154,"[11, 93, 0]",[104]
155,"[77, 8, 1]",[69]
156,"[64, 48, 0]",[112]
157,"[89, 19, 1]",[70]
158,"[49, 5, 0]",[54]
159,"[2, 51, 2]",[102]
160,"[86, 82, 0]",[168]
161,"[96, 29, 1]",[67]
162,"[78, 3, 3]",[26.0]
163,"[29, 14, 1]",[15]
164,"[81, 57, 0]",[138]
165,"[64, 51, 2]",[3264]
166,"[29, 28, 2]",[812]
167,"[43, 62, 3]",[0.6935483870967742]
168,"[47, 76, 2]",[3572]
169,"[19, 22, 1]",[-3]
170,"[16, 25, 1]",[-9]
171,"[92, 42, 2]",[3864]
172,"[44, 57, 1]",[-13]
173,"[4, 83, 3]",[0.04819277108433735]
174,"[13, 28, 0]",[41]
175,"[41, 71, 2]",[2911]
176,"[48, 37, 2]",[1776]
177,"[57, 86, 2]",[4902]
178,"[23, 18, 2]",[414]
179,"[53, 92, 3]",[0.5760869565217391]
180,"[18, 30, 2]",[540]
181,"[13, 89, 1]",[-76]
182,"[89, 59, 2]",[5251]
183,"[90, 57, 2]",[5130]
184,"[43, 72, 0]",[115]
185,"[1, 88, 0]",[89]
186,"[82, 24, 2]",[1968]
187,"[20, 53, 0]",[73]
188,"[44, 89, 2]",[3916]
189,"[46, 58, 1]",[-12]
190,"[24, 78, 2]",[1872]
191,"[97, 16, 0]",[113]
192,"[6, 100, 2]",[600]
193,"[18, 60, 1]",[-42]
194,"[88, 90, 1]",[-2]
195,"[18, 74, 2]",[1332]
196,"[89, 98, 3]",[0.9081632653061225]
197,"[3, 39, 1]",[-36]
198,"[39, 85, 0]",[124]
199,"[80, 37, 0]",[117]
200,"[80, 53, 3]",[1.509433962264151]
201,"[46, 86, 2]",[3956]
202,"[44, 14, 1]",[30]
203,"[15, 89, 0]",[104]
204,"[19, 54, 0]",[73]
205,"[76, 98, 0]",[174]
206,"[53, 88, 1]",[-35]
207,"[57, 91, 2]",[5187]
208,"[32, 41, 0]",[73]
209,"[48, 14, 2]",[672]
210,"[13, 31, 0]",[44]
211,"[14, 13, 2]",[182]
212,"[20, 42, 2]",[840]
213,"[22, 74, 0]",[96]
214,"[32, 52, 3]",[0.6153846153846154]
215,"[28, 47, 0]",[75]
216,"[45, 10, 2]",[450]
217,"[32, 24, 2]",[768]
218,"[37, 43, 3]",[0.8604651162790697]
219,"[61, 53, 3]",[1.150943396226415]
220,"[31, 98, 1]",[-67]
221,"[68, 51, 3]",[1.3333333333333333]
222,"[88, 90, 3]",[0.9777777777777777]
223,"[6, 16, 1]",[-10]
224,"[57, 58, 3]",[0.9827586206896551]
225,"[30, 71, 2]",[2130]
226,"[55, 52, 0]",[107]
227,"[73, 15, 1]",[58]
228,"[56, 20, 3]",[2.8]
229,"[93, 30, 0]",[123]
230,"[95, 14, 3]",[6.785714285714286]
231,"[69, 32, 3]",[2.15625]
232,"[49, 34, 0]",[83]
233,"[2, 89, 2]",[178]
234,"[8, 69, 0]",[77]
235,"[30, 12, 0]",[42]
236,"[7, 27, 2]",[189]
237,"[7, 4, 3]",[1.75]
238,"[60, 97, 1]",[-37]
239,"[12, 34, 3]",[0.35294117647058826]
240,"[18, 71, 0]",[89]
241,"[90, 19, 2]",[1710]
242,"[15, 61, 1]",[-46]
243,"[74, 51, 0]",[125]
244,"[40, 37, 2]",[1480]
245,"[72, 23, 2]",[1656]
246,"[67, 24, 3]",[2.7916666666666665]
247,"[86, 14, 1]",[72]
248,"[60, 83, 2]",[4980]
249,"[56, 20, 2]",[1120]
250,"[37, 45, 3]",[0.8222222222222222]
251,"[96, 76, 0]",[172]
252,"[57, 37, 3]",[1.5405405405405406]
253,"[81, 90, 1]",[-9]
254,"[94, 87, 1]",[7]
255,"[66, 96, 1]",[-30]
256,"[78, 58, 1]",[20]
257,"[2, 94, 2]",[188]
258,"[90, 57, 1]",[33]
259,"[21, 73, 2]",[1533]
260,"[97, 83, 2]",[8051]
261,"[70, 11, 2]",[770]
262,"[59, 85, 0]",[144]
263,"[100, 25, 3]",[4.0]
264,"[74, 82, 0]",[156]
265,"[86, 5, 3]",[17.2]
266,"[58, 2, 2]",[116]
267,"[45, 24, 1]",[21]
268,"[54, 33, 0]",[87]
269,"[58, 70, 1]",[-12]
270,"[3, 22, 3]",[0.13636363636363635]
271,"[95, 79, 1]",[16]
272,"[58, 54, 3]",[1.0740740740740742]
273,"[43, 24, 2]",[1032]
274,"[18, 31, 3]",[0.5806451612903226]
275,"[13, 34, 1]",[-21]
276,"[13, 67, 0]",[80]
277,"[91, 51, 0]",[142]
278,"[20, 98, 3]",[0.20408163265306123]
279,"[57, 32, 2]",[1824]
280,"[25, 9, 0]",[34]
281,"[2, 21, 0]",[23]
282,"[6, 91, 0]",[97]
283,"[24, 71, 1]",[-47]
284,"[57, 88, 1]",[-31]
285,"[0, 74, 2]",[0]
286,"[31, 52, 2]",[1612]
287,"[6, 88, 1]",[-82]
288,"[56, 100, 3]",[0.56]
289,"[48, 12, 3]",[4.0]
290,"[60, 62, 2]",[3720]
291,"[60, 94, 3]",[0.6382978723404256]
292,"[38, 51, 0]",[89]
293,"[100, 85, 0]",[185]
294,"[38, 57, 2]",[2166]
295,"[45, 62, 1]",[-17]
296,"[92, 78, 0]",[170]
297,"[98, 12, 0]",[110]
298,"[35, 32, 3]",[1.09375]
299,"[38, 14, 2]",[532]
300,"[86, 78, 3]",[1.1025641025641026]
301,"[18, 87, 1]",[-69]
302,"[48, 95, 3]",[0.5052631578947369]
303,"[60, 62, 1]",[-2]
304,"[99, 10, 0]",[109]
305,"[18, 77, 0]",[95]
306,"[16, 38, 1]",[-22]
307,"[47, 36, 0]",[83]
308,"[23, 84, 1]",[-61]
309,"[77, 49, 0]",[126]
310,"[52, 69, 3]",[0.7536231884057971]
311,"[11, 2, 2]",[22]
312,"[78, 43, 3]",[1.813953488372093]
313,"[87, 6, 0]",[93]
314,"[10, 79, 1]",[-69]
315,"[20, 15, 1]",[5]
316,"[80, 74, 3]",[1.0810810810810811]
317,"[47, 93, 2]",[4371]
318,"[94, 1, 1]",[93]
319,"[40, 32, 0]",[72]
320,"[10, 86, 1]",[-76]
321,"[69, 4, 3]",[17.25]
322,"[5, 93, 0]",[98]
323,"[23, 7, 2]",[161]
324,"[72, 81, 1]",[-9]
325,"[95, 49, 0]",[144]
326,"[72, 73, 1]",[-1]
327,"[35, 72, 2]",[2520]
328,"[71, 57, 1]",[14]
329,"[81, 67, 2]",[5427]
330,"[96, 26, 3]",[3.6923076923076925]
331,"[64, 25, 1]",[39]
332,"[39, 41, 3]",[0.9512195121951219]
333,"[63, 94, 0]",[157]
334,"[45, 14, 3]",[3.2142857142857144]
335,"[38, 87, 0]",[125]
336,"[55, 0, 3]",[0]
337,"[68, 39, 1]",[29]
338,"[4, 41, 0]",[45]
339,"[98, 64, 0]",[162]
340,"[61, 36, 0]",[97]
341,"[33, 63, 3]",[0.5238095238095238]
342,"[54, 70, 2]",[3780]
343,"[95, 11, 1]",[84]
344,"[100, 71, 2]",[7100]
345,"[88, 56, 3]",[1.5714285714285714]
346,"[8, 80, 2]",[640]
347,"[76, 60, 0]",[136]
348,"[41, 22, 0]",[63]
349,"[24, 78, 3]",[0.3076923076923077]
350,"[13, 18, 3]",[0.7222222222222222]
351,"[2, 29, 0]",[31]
352,"[57, 50, 0]",[107]
353,"[85, 55, 1]",[30]
354,"[96, 2, 3]",[48.0]
355,"[80, 21, 3]",[3.8095238095238093]
356,"[69, 49, 1]",[20]
357,"[43, 12, 1]",[31]
358,"[16, 43, 1]",[-27]
359,"[16, 71, 0]",[87]
360,"[93, 55, 2]",[5115]
361,"[42, 43, 2]",[1806]
362,"[24, 80, 2]",[1920]
363,"[71, 55, 0]",[126]
364,"[99, 68, 3]",[1.4558823529411764]
365,"[99, 9, 3]",[11.0]
366,"[60, 44, 1]",[16]
367,"[69, 28, 2]",[1932]
368,"[74, 19, 0]",[93]
369,"[55, 17, 3]",[3.235294117647059]
370,"[99, 68, 1]",[31]
371,"[80, 91, 0]",[171]
372,"[77, 29, 3]",[2.6551724137931036]
373,"[46, 90, 1]",[-44]
374,"[15, 5, 3]",[3.0]
375,"[94, 71, 3]",[1.323943661971831]
376,"[20, 53, 2]",[1060]
377,"[77, 45, 2]",[3465]
378,"[61, 66, 1]",[-5]
379,"[26, 45, 1]",[-19]
380,"[77, 50, 1]",[27]
381,"[5, 99, 1]",[-94]
382,"[26, 95, 3]",[0.2736842105263158]
383,"[46, 38, 2]",[1748]
384,"[47, 66, 0]",[113]
385,"[45, 61, 2]",[2745]
386,"[4, 72, 0]",[76]
387,"[36, 50, 3]",[0.72]
388,"[89, 77, 3]",[1.155844155844156]
389,"[11, 61, 1]",[-50]
390,"[52, 79, 1]",[-27]
391,"[76, 2, 1]",[74]
392,"[1, 10, 2]",[10]
393,"[1, 69, 2]",[69]
394,"[53, 71, 2]",[3763]
395,"[37, 30, 0]",[67]
396,"[57, 69, 3]",[0.8260869565217391]
397,"[86, 100, 3]",[0.86]
398,"[12, 50, 1]",[-38]
399,"[46, 90, 2]",[4140]
400,"[77, 2, 2]",[154]
401,"[74, 69, 2]",[5106]
402,"[100, 95, 1]",[5]
403,"[52, 12, 2]",[624]
404,"[75, 79, 0]",[154]
405,"[92, 47, 2]",[4324]
406,"[79, 10, 1]",[69]
407,"[10, 28, 2]",[280]
408,"[77, 86, 0]",[163]
409,"[34, 17, 0]",[51]
410,"[75, 83, 0]",[158]
411,"[90, 29, 1]",[61]
412,"[67, 99, 0]",[166]
413,"[48, 14, 0]",[62]
414,"[40, 3, 0]",[43]
415,"[4, 79, 0]",[83]
416,"[35, 78, 2]",[2730]
417,"[48, 29, 0]",[77]
418,"[26, 39, 1]",[-13]
419,"[52, 7, 2]",[364]
420,"[98, 96, 2]",[9408]
421,"[45, 26, 0]",[71]
422,"[40, 39, 3]",[1.0256410256410255]
423,"[66, 59, 3]",[1.11864406779661]
424,"[77, 69, 2]",[5313]
425,"[37, 88, 0]",[125]
426,"[28, 36, 2]",[1008]
427,"[26, 93, 0]",[119]
428,"[32, 72, 3]",[0.4444444444444444]
429,"[2, 82, 3]",[0.024390243902439025]
430,"[15, 87, 0]",[102]
431,"[58, 61, 2]",[3538]
432,"[13, 100, 3]",[0.13]
433,"[48, 2, 1]",[46]
434,"[63, 41, 3]",[1.5365853658536586]
435,"[70, 33, 1]",[37]
436,"[56, 33, 0]",[89]
437,"[28, 85, 3]",[0.32941176470588235]
438,"[22, 96, 0]",[118]
439,"[82, 37, 3]",[2.2162162162162162]
440,"[65, 48, 2]",[3120]
441,"[6, 47, 3]",[0.1276595744680851]
442,"[12, 51, 3]",[0.23529411764705882]
443,"[40, 78, 3]",[0.5128205128205128]
444,"[72, 99, 2]",[7128]
445,"[66, 13, 2]",[858]
446,"[40, 46, 0]",[86]
447,"[81, 68, 0]",[149]
448,"[20, 74, 0]",[94]
449,"[66, 97, 3]",[0.6804123711340206]
450,"[56, 8, 2]",[448]
451,"[19, 30, 2]",[570]
452,"[15, 19, 2]",[285]
453,"[34, 33, 3]",[1.0303030303030303]
454,"[67, 59, 1]",[8]
455,"[42, 18, 3]",[2.3333333333333335]
456,"[85, 74, 0]",[159]
457,"[55, 20, 2]",[1100]
458,"[79, 39, 2]",[3081]
459,"[74, 98, 1]",[-24]
460,"[71, 39, 1]",[32]
461,"[33, 78, 0]",[111]
462,"[20, 18, 2]",[360]
463,"[84, 39, 1]",[45]
464,"[2, 92, 0]",[94]
465,"[64, 82, 1]",[-18]
466,"[47, 22, 1]",[25]
467,"[5, 42, 3]",[0.11904761904761904]
468,"[53, 82, 1]",[-29]
469,"[77, 89, 2]",[6853]
470,"[90, 84, 3]",[1.0714285714285714]
471,"[81, 19, 0]",[100]
472,"[94, 33, 2]",[3102]
473,"[12, 61, 2]",[732]
474,"[13, 87, 0]",[100]
475,"[40, 78, 0]",[118]
476,"[59, 25, 0]",[84]
477,"[67, 88, 1]",[-21]
478,"[6, 55, 0]",[61]
479,"[27, 24, 1]",[3]
480,"[96, 46, 2]",[4416]
481,"[17, 4, 3]",[4.25]
482,"[9, 23, 1]",[-14]
483,"[62, 82, 3]",[0.7560975609756098]
484,"[38, 73, 0]",[111]
485,"[18, 26, 0]",[44]
486,"[49, 48, 2]",[2352]
487,"[54, 30, 1]",[24]
488,"[38, 51, 1]",[-13]
489,"[32, 18, 1]",[14]
490,"[100, 4, 0]",[104]
491,"[84, 52, 3]",[1.6153846153846154]
492,"[85, 53, 0]",[138]
493,"[87, 20, 0]",[107]
494,"[28, 9, 0]",[37]
495,"[9, 88, 0]",[97]
496,"[79, 88, 1]",[-9]
497,"[22, 100, 2]",[2200]
498,"[28, 87, 3]",[0.3218390804597701]
499,"[62, 38, 1]",[24]
500,"[37, 70, 1]",[-33]
501,"[30, 73, 2]",[2190]
502,"[63, 67, 3]",[0.9402985074626866]
503,"[5, 36, 0]",[41]
504,"[44, 89, 0]",[133]
505,"[71, 31, 1]",[40]
506,"[51, 22, 1]",[29]
507,"[21, 39, 2]",[819]
508,"[81, 89, 2]",[7209]
509,"[81, 53, 2]",[4293]
510,"[31, 57, 3]",[0.543859649122807]
511,"[54, 99, 2]",[5346]
512,"[49, 82, 3]",[0.5975609756097561]
513,"[88, 92, 1]",[-4]
514,"[79, 46, 3]",[1.7173913043478262]
515,"[78, 57, 0]",[135]
516,"[80, 34, 2]",[2720]
517,"[48, 39, 2]",[1872]
518,"[74, 33, 0]",[107]
519,"[84, 19, 0]",[103]
520,"[83, 8, 0]",[91]
521,"[56, 100, 2]",[5600]
522,"[24, 58, 3]",[0.41379310344827586]
523,"[24, 92, 3]",[0.2608695652173913]
524,"[48, 62, 1]",[-14]
525,"[72, 87, 3]",[0.8275862068965517]
526,"[61, 48, 0]",[109]
527,"[61, 58, 1]",[3]
528,"[1, 78, 2]",[78]
529,"[78, 38, 3]",[2.0526315789473686]
530,"[60, 52, 1]",[8]
531,"[93, 45, 0]",[138]
532,"[41, 74, 1]",[-33]
533,"[54, 83, 1]",[-29]
534,"[41, 58, 1]",[-17]
535,"[48, 73, 2]",[3504]
536,"[66, 10, 0]",[76]
537,"[63, 19, 3]",[3.3157894736842106]
538,"[0, 53, 0]",[53]
539,"[67, 23, 2]",[1541]
540,"[97, 32, 0]",[129]
541,"[96, 26, 1]",[70]
542,"[63, 5, 2]",[315]
543,"[25, 37, 1]",[-12]
544,"[30, 87, 0]",[117]
545,"[38, 27, 1]",[11]
546,"[75, 94, 0]",[169]
547,"[80, 27, 1]",[53]
548,"[38, 76, 3]",[0.5]
549,"[35, 38, 1]",[-3]
550,"[56, 31, 3]",[1.8064516129032258]
551,"[2, 38, 2]",[76]
552,"[57, 25, 3]",[2.28]
553,"[83, 52, 0]",[135]
554,"[11, 24, 1]",[-13]
555,"[83, 71, 3]",[1.1690140845070423]
556,"[51, 49, 2]",[2499]
557,"[66, 55, 0]",[121]
558,"[41, 25, 1]",[16]
559,"[84, 81, 0]",[165]
560,"[31, 44, 0]",[75]
561,"[56, 46, 1]",[10]
562,"[96, 91, 3]",[1.054945054945055]
563,"[22, 76, 3]",[0.2894736842105263]
564,"[22, 72, 2]",[1584]
565,"[60, 41, 0]",[101]
566,"[23, 63, 3]",[0.36507936507936506]
567,"[3, 6, 0]",[9]
568,"[12, 7, 2]",[84]
569,"[11, 57, 0]",[68]
570,"[63, 10, 0]",[73]
571,"[92, 54, 0]",[146]
572,"[38, 82, 0]",[120]
573,"[62, 59, 2]",[3658]
574,"[52, 87, 3]",[0.5977011494252874]
575,"[91, 24, 3]",[3.7916666666666665]
576,"[85, 96, 1]",[-11]
577,"[34, 26, 0]",[60]
578,"[98, 82, 2]",[8036]
579,"[18, 94, 1]",[-76]
580,"[64, 25, 1]",[39]
581,"[60, 60, 1]",[0]
582,"[78, 17, 0]",[95]
583,"[15, 53, 0]",[68]
584,"[93, 43, 0]",[136]
585,"[2, 57, 2]",[114]
586,"[86, 40, 1]",[46]
587,"[62, 77, 2]",[4774]
588,"[5, 73, 3]",[0.0684931506849315]
589,"[51, 28, 2]",[1428]
590,"[87, 54, 1]",[33]
591,"[49, 41, 3]",[1.1951219512195121]
592,"[6, 82, 1]",[-76]
593,"[32, 11, 3]",[2.909090909090909]
594,"[3, 24, 0]",[27]
595,"[74, 0, 1]",[74]
596,"[88, 82, 3]",[1.0731707317073171]
597,"[30, 10, 2]",[300]
598,"[60, 99, 3]",[0.6060606060606061]
599,"[66, 16, 1]",[50]
600,"[32, 60, 0]",[92]
601,"[72, 39, 1]",[33]
602,"[13, 87, 2]",[1131]
603,"[27, 65, 1]",[-38]
604,"[27, 57, 1]",[-30]
605,"[36, 49, 3]",[0.7346938775510204]
606,"[87, 54, 2]",[4698]
607,"[63, 41, 1]",[22]
608,"[35, 69, 2]",[2415]
609,"[94, 67, 3]",[1.4029850746268657]
610,"[34, 73, 1]",[-39]
611,"[31, 28, 3]",[1.1071428571428572]
612,"[53, 62, 3]",[0.8548387096774194]
613,"[79, 96, 3]",[0.8229166666666666]
614,"[47, 40, 0]",[87]
615,"[1, 94, 2]",[94]
616,"[41, 39, 3]",[1.0512820512820513]
617,"[12, 33, 3]",[0.36363636363636365]
618,"[58, 55, 3]",[1.0545454545454545]
619,"[23, 37, 2]",[851]
620,"[64, 73, 1]",[-9]
621,"[82, 20, 0]",[102]
622,"[36, 39, 2]",[1404]
623,"[34, 53, 3]",[0.6415094339622641]
624,"[33, 14, 3]",[2.357142857142857]
625,"[89, 67, 3]",[1.328358208955224]
626,"[66, 45, 0]",[111]
627,"[27, 6, 0]",[33]
628,"[77, 25, 1]",[52]
629,"[36, 48, 1]",[-12]
630,"[59, 56, 1]",[3]
631,"[46, 94, 3]",[0.48936170212765956]
632,"[91, 88, 1]",[3]
633,"[25, 41, 0]",[66]
634,"[1, 13, 2]",[13]
635,"[96, 56, 0]",[152]
636,"[44, 71, 2]",[3124]
637,"[14, 23, 3]",[0.6086956521739131]
638,"[49, 14, 0]",[63]
639,"[88, 90, 3]",[0.9777777777777777]
640,"[50, 72, 2]",[3600]
641,"[70, 80, 2]",[5600]
642,"[54, 30, 0]",[84]
643,"[92, 47, 3]",[1.9574468085106382]
644,"[52, 9, 3]",[5.777777777777778]
645,"[94, 10, 2]",[940]
646,"[18, 28, 0]",[46]
647,"[84, 89, 2]",[7476]
648,"[85, 41, 2]",[3485]
649,"[16, 0, 2]",[0]
650,"[65, 60, 3]",[1.0833333333333333]
651,"[1, 50, 0]",[51]
652,"[13, 71, 2]",[923]
653,"[0, 74, 0]",[74]
654,"[54, 39, 0]",[93]
655,"[25, 57, 0]",[82]
656,"[70, 13, 3]",[5.384615384615385]
657,"[16, 22, 3]",[0.7272727272727273]
658,"[24, 48, 1]",[-24]
659,"[99, 12, 1]",[87]
660,"[16, 63, 2]",[1008]
661,"[75, 28, 3]",[2.6785714285714284]
662,"[3, 47, 1]",[-44]
663,"[99, 60, 2]",[5940]
664,"[25, 41, 1]",[-16]
665,"[88, 85, 0]",[173]
666,"[11, 33, 1]",[-22]
667,"[28, 81, 3]",[0.345679012345679]
668,"[3, 15, 0]",[18]
669,"[79, 44, 1]",[35]
670,"[36, 81, 2]",[2916]
671,"[100, 77, 2]",[7700]
672,"[61, 70, 1]",[-9]
673,"[32, 71, 2]",[2272]
674,"[71, 93, 1]",[-22]
675,"[84, 86, 1]",[-2]
676,"[93, 72, 1]",[21]
677,"[52, 80, 0]",[132]
678,"[69, 44, 0]",[113]
679,"[44, 61, 1]",[-17]
680,"[56, 50, 0]",[106]
681,"[54, 7, 3]",[7.714285714285714]
682,"[61, 67, 2]",[4087]
683,"[27, 63, 3]",[0.42857142857142855]
684,"[3, 39, 1]",[-36]
685,"[84, 36, 2]",[3024]
686,"[99, 14, 3]",[7.071428571428571]
687,"[93, 2, 2]",[186]
688,"[40, 21, 2]",[840]
689,"[94, 63, 2]",[5922]
690,"[37, 25, 1]",[12]
691,"[5, 6, 3]",[0.8333333333333334]
692,"[12, 15, 2]",[180]
693,"[35, 53, 1]",[-18]
694,"[82, 35, 0]",[117]
695,"[53, 55, 3]",[0.9636363636363636]
696,"[83, 25, 3]",[3.32]
697,"[89, 29, 3]",[3.0689655172413794]
698,"[6, 33, 0]",[39]
699,"[25, 24, 2]",[600]
700,"[5, 0, 2]",[0]
701,"[99, 76, 1]",[23]
702,"[2, 43, 2]",[86]
703,"[42, 62, 0]",[104]
704,"[18, 48, 3]",[0.375]
705,"[77, 90, 2]",[6930]
706,"[76, 57, 3]",[1.3333333333333333]
707,"[79, 9, 1]",[70]
708,"[26, 100, 2]",[2600]
709,"[16, 48, 3]",[0.3333333333333333]
710,"[7, 78, 2]",[546]
711,"[25, 92, 1]",[-67]
712,"[39, 52, 2]",[2028]
713,"[76, 58, 0]",[134]
714,"[68, 56, 2]",[3808]
715,"[99, 38, 2]",[3762]
716,"[23, 47, 0]",[70]
717,"[23, 61, 2]",[1403]
718,"[70, 10, 1]",[60]
719,"[84, 23, 3]",[3.652173913043478]
720,"[91, 15, 0]",[106]
721,"[47, 92, 2]",[4324]
722,"[77, 37, 3]",[2.081081081081081]
723,"[17, 42, 2]",[714]
724,"[15, 77, 1]",[-62]
725,"[39, 85, 0]",[124]
726,"[4, 5, 0]",[9]
727,"[30, 85, 2]",[2550]
728,"[48, 1, 2]",[48]
729,"[1, 49, 0]",[50]
730,"[32, 89, 1]",[-57]
731,"[91, 39, 3]",[2.3333333333333335]
732,"[42, 37, 3]",[1.135135135135135]
733,"[91, 13, 1]",[78]
734,"[42, 41, 2]",[1722]
735,"[68, 62, 3]",[1.096774193548387]
736,"[44, 86, 0]",[130]
737,"[28, 31, 1]",[-3]
738,"[63, 8, 0]",[71]
739,"[5, 76, 1]",[-71]
740,"[77, 84, 3]",[0.9166666666666666]
741,"[2, 50, 2]",[100]
742,"[27, 85, 3]",[0.3176470588235294]
743,"[47, 45, 0]",[92]
744,"[30, 0, 0]",[30]
745,"[45, 10, 1]",[35]
746,"[38, 85, 2]",[3230]
747,"[88, 20, 2]",[1760]
748,"[47, 66, 1]",[-19]
749,"[8, 3, 0]",[11]
